date,sector,avg_change,score
2026-07-13,神山群,-0.08,49
2026-07-13,IC設計,-3.47,15
2026-07-13,散熱,-2.46,25
2026-07-13,石英元件,-5.99,0
2026-07-13,被動元件,-9.8,0
2026-07-13,矽晶圓,9.93,100
2026-07-13,功率元件,-2.86,21
2026-07-13,光通訊,-2.31,26
2026-07-13,PCB/CCL,-0.52,44
2026-07-13,記憶體,-3.63,13
2026-07-13,國防無人機,2.84,78
2026-07-13,重電,1.97,69
2026-07-13,AI設備封測,-1.62,33
2026-07-14,神山群,-0.08,49
2026-07-14,IC設計,-3.47,15
2026-07-14,散熱,-2.46,25
2026-07-14,石英元件,-5.92,0
2026-07-14,被動元件,-9.8,0
2026-07-14,矽晶圓,9.93,100
2026-07-14,功率元件,-2.86,21
2026-07-14,光通訊,-2.31,26
2026-07-14,PCB/CCL,-0.52,44
2026-07-14,記憶體,-3.63,13
2026-07-14,國防無人機,2.95,79
2026-07-14,重電,1.97,69
2026-07-14,AI設備封測,-1.62,33
2026-07-19,神山群,-9.27,0
2026-07-19,IC設計,-6.74,0
2026-07-19,散熱,-3.55,14
2026-07-19,石英元件,-9.77,0
2026-07-19,被動元件,-9.95,0
2026-07-19,矽晶圓,-9.8,0
2026-07-19,功率元件,-9.07,0
2026-07-19,光通訊,-9.21,0
2026-07-19,PCB/CCL,-7.89,0
2026-07-19,記憶體,-9.61,0
2026-07-19,國防無人機,-8.78,0
2026-07-19,重電,-8.27,0
2026-07-19,AI設備封測,-9.05,0
2026-07-20,神山群,-6.68,0
2026-07-20,IC設計,-1.72,32
2026-07-20,散熱,-2.37,26
2026-07-20,石英元件,-7.41,0
2026-07-20,被動元件,-9.59,0
2026-07-20,矽晶圓,0.74,57
2026-07-20,功率元件,-2.87,21
2026-07-20,光通訊,-3.28,17
2026-07-20,PCB/CCL,-2.64,23
2026-07-20,記憶體,-3.97,10
2026-07-20,國防無人機,-3.04,19
2026-07-20,重電,-4.11,8
2026-07-20,AI設備封測,-3.27,17
2026-07-21,神山群,-6.68,0
2026-07-21,IC設計,-1.72,32
2026-07-21,散熱,-2.37,26
2026-07-21,石英元件,-7.41,0
2026-07-21,被動元件,-9.59,0
2026-07-21,矽晶圓,0.74,57
2026-07-21,功率元件,-2.87,21
2026-07-21,光通訊,-3.28,17
2026-07-21,PCB/CCL,-2.64,23
2026-07-21,記憶體,-3.97,10
2026-07-21,國防無人機,-3.04,19
2026-07-21,重電,-4.11,8
2026-07-21,AI設備封測,-3.27,17
2026-07-22,神山群,3.16,81
2026-07-22,IC設計,7.25,100
2026-07-22,散熱,7.77,100
2026-07-22,石英元件,1.71,67
2026-07-22,被動元件,3.26,82
2026-07-22,矽晶圓,-5.14,0
2026-07-22,功率元件,5.56,100
2026-07-22,光通訊,4.61,96
2026-07-22,PCB/CCL,9.38,100
2026-07-22,記憶體,5.34,100
2026-07-22,國防無人機,4.6,96
2026-07-22,重電,1.35,63
2026-07-22,AI設備封測,6.85,100
2026-07-23,神山群,4.3,93
2026-07-23,IC設計,2.99,79
2026-07-23,散熱,-0.8,42
2026-07-23,石英元件,0.97,59
2026-07-23,被動元件,3.39,83
2026-07-23,矽晶圓,3.36,83
2026-07-23,功率元件,5.16,100
2026-07-23,光通訊,6.7,100
2026-07-23,PCB/CCL,7.31,100
2026-07-23,記憶體,8.4,100
2026-07-23,國防無人機,-3.57,14
2026-07-23,重電,4.7,97
2026-07-23,AI設備封測,4.76,97
